CloneNum	ScaffoldNum	CStart	CEnd	TRNum	TRStart	TREnd	TRLength
P127I17	scaffold7646	1	17101640	PY_TR0000014	10406	10470	64
P127I17	scaffold7646	1	17101640	PY_TR0000014	10406	10470	64
P127I17	scaffold7646	1	17101640	PY_TR0000015	10491	12064	1573
P127I17	scaffold7646	1	17101640	PY_TR0000016	11255	11338	83
P127I17	scaffold7646	1	17101640	PY_TR0000017	14876	15226	350
P127I17	scaffold7646	1	17101640	PY_TR0000018	15157	15214	57
P127I17	scaffold7646	1	17101640	PY_TR0000019	22263	22551	288
P127I17	scaffold7646	1	17101640	PY_TR0000020	24573	24650	77
P127I17	scaffold7646	1	17101640	PY_TR0000021	24731	24756	25
P127I17	scaffold7646	1	17101640	PY_TR0000022	27522	30104	2582
P127I17	scaffold7646	1	17101640	PY_TR0000023	27554	30104	2550
P1001B23	scaffold7647	70002	83940	PY_TR0000077	70315	70353	38
P1001B23	scaffold7647	70002	83940	PY_TR0000078	78347	78824	477
P1001B23	scaffold7647	70002	83940	PY_TR0000079	79525	79550	25
P1001B23	scaffold7647	70002	83940	PY_TR0000080	83834	83865	31
P1002F1	scaffold7649	230198	2499920	PY_TR0000389	233473	233581	108
P1002F1	scaffold7649	230198	2499920	PY_TR0000390	233691	233859	168
P1002F1	scaffold7649	230198	2499920	PY_TR0000392	237429	237464	35
P1002F1	scaffold7649	230198	2499920	PY_TR0000393	237449	237630	181
P1002F1	scaffold7649	230198	2499920	PY_TR0000394	237628	237706	78
P1002F1	scaffold7649	230198	2499920	PY_TR0000395	242827	243146	319
P1002F1	scaffold7649	230198	2499920	PY_TR0000396	242831	243146	315
P1002F1	scaffold7649	230198	2499920	PY_TR0000397	245879	246175	296
P1002F1	scaffold7649	230198	2499920	PY_TR0000398	246372	247843	1471
P1002F1	scaffold7649	230198	2499920	PY_TR0000399	247899	247963	64
P1002F1	scaffold7649	230198	2499920	PY_TR0000402	259315	259382	67
P1002F1	scaffold7649	230198	2499920	PY_TR0000403	259318	259389	71
P1002F1	scaffold7649	230198	2499920	PY_TR0000404	259315	259389	74
P1002F1	scaffold7649	230198	2499920	PY_TR0000406	264952	272932	7980
P1002F1	scaffold7649	230198	2499920	PY_TR0000407	266914	266938	24
P1002F1	scaffold7649	230198	2499920	PY_TR0000408	269066	269130	64
P1002F1	scaffold7649	230198	2499920	PY_TR0000409	271772	271836	64
