ScaffoldNum	StartPos	EndPos	TRNum	TRSize	CopyNum	TRLength
scaffold7644	2652	2903	PY_TR0000001	92	2,7	251
scaffold7644	12122	12151	PY_TR0000002	8	3,8	29
scaffold7644	13096	13126	PY_TR0000003	16	1,9	30
scaffold7644	13108	13862	PY_TR0000004	32	24	754
scaffold7644	13121	13862	PY_TR0000005	93	7,9	741
scaffold7644	17196	17231	PY_TR0000006	17	2,1	35
scaffold7644	23112	23398	PY_TR0000008	82	3,5	286
scaffold7645	3827	3922	PY_TR0000010	34	2,8	95
scaffold7645	3827	3922	PY_TR0000010	34	2,8	95
scaffold7645	6149	6207	PY_TR0000011	18	3,3	58
scaffold7646	10406	10470	PY_TR0000014	28	2,3	64
scaffold7646	10406	10470	PY_TR0000014	28	2,3	64
scaffold7646	10491	12064	PY_TR0000015	34	46,8	1573
scaffold7646	11255	11338	PY_TR0000016	17	5	83
scaffold7646	14876	15226	PY_TR0000017	34	10,3	350
scaffold7646	15157	15214	PY_TR0000018	18	3,3	57
scaffold7646	22263	22551	PY_TR0000019	156	1,9	288
scaffold7646	24573	24650	PY_TR0000020	2	39	77
scaffold7646	24731	24756	PY_TR0000021	2	13	25
scaffold7646	27522	30104	PY_TR0000022	48	53,1	2582
scaffold7646	27554	30104	PY_TR0000023	191	13,1	2550
scaffold7647	8186	8210	PY_TR0000025	11	2,3	24
scaffold7647	8186	8210	PY_TR0000025	11	2,3	24
scaffold7647	8893	9030	PY_TR0000026	22	6,3	137
scaffold7647	9027	9120	PY_TR0000027	20	4,7	93
scaffold7647	11290	11496	PY_TR0000028	30	7	206
scaffold7647	11264	19316	PY_TR0000029	60	134,8	8052
scaffold7647	11290	19316	PY_TR0000030	90	89,6	8026
scaffold7647	11455	11537	PY_TR0000031	41	2	82
scaffold7647	11496	13566	PY_TR0000032	30	69,6	2070
scaffold7647	12615	12656	PY_TR0000033	20	2,1	41
scaffold7647	12585	12683	PY_TR0000034	50	2	98
scaffold7647	13350	13919	PY_TR0000035	15	38,2	569
scaffold7647	13342	13419	PY_TR0000036	14	5,3	77
scaffold7647	13552	13579	PY_TR0000037	13	2,2	27
scaffold7647	13522	13606	PY_TR0000038	43	2	84
scaffold7647	13565	16019	PY_TR0000039	30	81,9	2454
scaffold7647	13492	13639	PY_TR0000040	73	2	147
scaffold7647	15542	15633	PY_TR0000041	48	1,9	91
scaffold7647	15949	16187	PY_TR0000042	78	2,9	238
scaffold7647	16281	16358	PY_TR0000043	14	5,3	77
scaffold7647	16027	19316	PY_TR0000044	30	109,6	3289
scaffold7647	21369	22254	PY_TR0000045	76	11,8	885
scaffold7647	22190	22684	PY_TR0000046	76	7	494
scaffold7647	22351	22770	PY_TR0000047	76	5,6	419
scaffold7647	21369	22770	PY_TR0000048	152	9,5	1401
scaffold7647	23029	23229	PY_TR0000049	48	4,2	200
scaffold7647	23358	23490	PY_TR0000050	48	2,8	132
scaffold7647	28032	28074	PY_TR0000051	19	2,3	42
scaffold7647	30394	30425	PY_TR0000052	4	8	31
scaffold7647	30629	30656	PY_TR0000053	1	28	27
scaffold7647	35370	36241	PY_TR0000054	23	39	871
scaffold7647	35476	36241	PY_TR0000056	67	11,5	765
scaffold7647	38099	38133	PY_TR0000058	2	17,5	34
scaffold7647	39129	39176	PY_TR0000059	16	3	47
scaffold7647	42157	42198	PY_TR0000061	21	2,1	41
scaffold7647	42618	42669	PY_TR0000062	27	1,9	51
scaffold7647	50093	50630	PY_TR0000063	26	20,9	537
scaffold7647	51075	51124	PY_TR0000064	25	2	49
scaffold7647	51860	51902	PY_TR0000065	22	2	42
scaffold7647	51896	52310	PY_TR0000066	49	8,5	414
scaffold7647	54718	54891	PY_TR0000067	49	3,6	173
scaffold7647	57202	57730	PY_TR0000068	44	12,1	528
scaffold7647	59015	61276	PY_TR0000070	25	91,4	2261
scaffold7647	60231	60953	PY_TR0000071	220	3,3	722
scaffold7647	60774	61055	PY_TR0000072	118	2,4	281
scaffold7647	63031	63588	PY_TR0000073	16	34,9	557
